Text,Topic
The government announced a new education policy. I need details.,Education
Tips to stay mentally healthy. I need details.,Mental Health
The government announced a new education policy. Can you help?,Education
What is the capital of France,Geography
How do I invest in the stock market I need details.,Finance
What is the capital of France,Geography
What is the capital of France Guide me.,Geography
What are the symptoms of COVID-19 What should I know?,Health
How do I invest in the stock market Can you help?,Finance
Tips to stay mentally healthy. Any advice?,Mental Health
Renewable energy is the future. What's important?,Energy
Renewable energy is the future. Please explain.,Energy
The government announced a new education policy. What's important?,Education
What is the capital of France Guide me.,Geography
What are the symptoms of COVID-19 Can you help?,Health
Python is a great programming language.,Programming
Tips to stay mentally healthy. What's important?,Mental Health
How to bake a chocolate cake I need details.,Cooking
How to bake a chocolate cake,Cooking
How do I invest in the stock market What's important?,Finance
Python is a great programming language. Guide me.,Programming
What is the capital of France Guide me.,Geography
How to bake a chocolate cake What should I know?,Cooking
The government announced a new education policy.,Education
How to bake a chocolate cake Guide me.,Cooking
Python is a great programming language. Please explain.,Programming
The government announced a new education policy. What's important?,Education
What is the capital of France What should I know?,Geography
Renewable energy is the future. Any advice?,Energy
The government announced a new education policy. Can you help?,Education
What are the effects of global warming I need details.,Environment
What are the effects of global warming Guide me.,Environment
What is the capital of France I need details.,Geography
Tips to stay mentally healthy. Any advice?,Mental Health
The government announced a new education policy.,Education
Tips to stay mentally healthy.,Mental Health
Tips to stay mentally healthy. I need details.,Mental Health
Renewable energy is the future. What's important?,Energy
How to bake a chocolate cake Please explain.,Cooking
What are the symptoms of COVID-19 I need details.,Health
What are the effects of global warming What should I know?,Environment
What is the capital of France What's important?,Geography
How to prepare for a job interview What should I know?,Career
The government announced a new education policy. Guide me.,Education
How do I invest in the stock market Can you help?,Finance
The government announced a new education policy. What's important?,Education
